City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Norilsk,RU,69.3535,88.2027,56.43,68,2,7.87,clear sky
308,Two Rivers,US,44.1539,-87.5693,73.89,49,0,11.5,clear sky
309,Porciuncula,BR,-20.9628,-42.0408,66.7,57,5,6.17,clear sky
310,Padang,ID,-0.9492,100.3543,73.45,85,99,4.97,light rain
311,Elizabeth City,US,36.2946,-76.2511,91.42,73,0,5.75,clear sky
312,Ayia Marina,GR,37.75,23.5333,82.98,60,0,14.99,clear sky
313,Aguimes,ES,27.9054,-15.4461,70.66,73,20,28.77,few clouds
314,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.02,74,47,2.04,scattered clouds
315,Anadyr,RU,64.75,177.4833,50.5,93,40,15.66,fog
316,Belmonte,BR,-15.8631,-38.8828,70.48,81,1,5.84,clear sky
317,Pecos,US,31.4229,-103.4932,99.43,22,0,13.8,clear sky
318,Deputatskiy,RU,69.3,139.9,46.62,78,100,5.35,moderate rain
319,Karratha,AU,-20.7377,116.8463,69.22,48,2,9.53,light rain
320,Ondjiva,AO,-17.0667,15.7333,58.87,32,60,5.93,broken clouds
321,Rurrenabaque,BO,-14.4413,-67.5278,76.39,58,11,1.12,few clouds
322,Marigot,MF,18.0667,-63.0833,82.74,69,40,9.22,scattered clouds
323,Tazmalt,DZ,36.3868,4.3989,80.67,44,0,2.95,clear sky
324,Albertville,US,34.2676,-86.2089,89.49,55,40,9.22,scattered clouds
325,Molina,CL,-35.1167,-71.2833,49.73,76,0,4.61,clear sky
326,Puerto Escondido,MX,15.85,-97.0667,82.15,82,48,5.3,scattered clouds
327,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,87,7.0,overcast clouds
328,Mansfield,GB,53.1333,-1.2,63.3,67,98,3.0,overcast clouds
329,Marabba,SD,12.35,32.1833,77.65,76,100,8.72,overcast clouds
330,Mumbwa,ZM,-14.9783,27.0619,55.2,56,5,4.14,clear sky
331,Kavieng,PG,-2.5744,150.7967,84.51,71,96,17.11,overcast clouds
332,Qaqortoq,GL,60.7167,-46.0333,44.94,80,27,5.14,scattered clouds
333,Bonavista,CA,48.6499,-53.1147,53.08,87,83,15.64,broken clouds
334,Channel-Port Aux Basques,CA,47.5702,-59.1367,63.59,84,45,1.9,scattered clouds
335,Lasa,IT,46.6166,10.7002,63.48,91,98,2.89,overcast clouds
336,Tikapur,NP,28.5,81.1333,78.84,85,94,3.27,overcast clouds
337,Banjar,ID,-8.19,114.9675,78.39,75,87,3.33,overcast clouds
338,North Bend,US,43.4065,-124.2243,81.25,81,0,13.8,clear sky
339,Labuhan,ID,-6.8844,112.2051,77.27,81,85,7.25,overcast clouds
340,Bambanglipuro,ID,-7.95,110.2833,74.89,87,88,5.93,overcast clouds
341,Yar-Sale,RU,66.8333,70.8333,62.4,66,86,7.45,overcast clouds
342,Araceli,PH,10.5529,119.9913,83.07,77,100,4.47,overcast clouds
343,Henties Bay,NA,-22.116,14.2845,52.86,91,13,5.17,few clouds
344,Camocim,BR,-2.9022,-40.8411,76.78,81,36,8.72,scattered clouds
345,Gambo,CF,4.6482,22.2633,67.66,99,100,1.59,overcast clouds
346,Aras,ES,42.5617,-2.356,64.81,49,0,6.91,clear sky
