City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Leningradskiy,RU,2022-07-20 22:01:56,69.3833,178.4167,33.46,99,100,19.69
132,Lubyany,RU,2022-07-20 22:02:57,56.0378,51.4,53.47,90,20,2.15
133,Tucuman,AR,2022-07-20 22:02:57,-26.8241,-65.2226,63.5,44,91,3.56
134,Talnakh,RU,2022-07-20 22:02:58,69.4865,88.3972,52.21,74,100,5.23
135,Poronaysk,RU,2022-07-20 21:59:51,49.2167,143.1167,59.67,82,100,7.16
136,Harriston,CA,2022-07-20 22:01:44,43.9001,-80.883,79.92,85,100,21.59
137,Mutis,CO,2022-07-20 22:02:58,6.2262,-77.4044,79.75,87,82,9.01
138,Anchorage,US,2022-07-20 21:59:35,61.2181,-149.9003,62.92,77,93,5.01
139,Puerto Ayora,EC,2022-07-20 22:02:59,-0.7393,-90.3518,68.56,100,94,8.99
140,Cayenne,GF,2022-07-20 21:59:00,4.9333,-52.3333,82.44,1,40,8.05
141,Lavrentiya,RU,2022-07-20 22:02:59,65.5833,-171.0,40.59,81,100,25.86
142,Santa Maria,BR,2022-07-20 22:03:00,-29.6842,-53.8069,64.53,93,9,5.48
143,Hamilton,US,2022-07-20 22:03:00,39.1834,-84.5333,93.74,64,40,16.11
144,Namibe,AO,2022-07-20 22:03:00,-15.1961,12.1522,62.46,82,1,2.39
145,Quatre Cocos,MU,2022-07-20 22:03:01,-20.2078,57.7625,66.09,73,96,20.2
146,Sao Filipe,CV,2022-07-20 22:03:01,14.8961,-24.4956,76.51,88,75,5.82
147,Georgetown,MY,2022-07-20 21:59:55,5.4112,100.3354,80.89,91,20,1.14
148,Narsaq,GL,2022-07-20 22:03:02,60.9167,-46.05,57.42,82,86,3.51
149,Airai,TL,2022-07-20 22:03:03,-8.9266,125.4092,57.11,93,91,3.74
150,Imbituba,BR,2022-07-20 22:03:04,-28.24,-48.6703,64.09,94,0,14.0
151,Porto Novo,BJ,2022-07-20 22:03:04,6.4965,2.6036,73.89,75,95,6.6
152,Sawakin,SD,2022-07-20 22:03:04,19.1059,37.3321,90.95,44,100,1.92
153,Codrington,AU,2022-07-20 21:58:39,-38.2667,141.9667,38.19,80,0,7.81
154,Muros,ES,2022-07-20 22:01:03,42.7762,-9.0603,68.09,79,5,11.97
155,Hami,CN,2022-07-20 22:03:05,42.8,93.45,64.92,57,24,2.73
156,Rio Grande,BR,2022-07-20 21:59:07,-32.035,-52.0986,62.71,90,0,10.67
157,Longyearbyen,SJ,2022-07-20 22:01:25,78.2186,15.6401,49.84,87,75,5.75
158,Namatanai,PG,2022-07-20 22:03:06,-3.6667,152.4333,81.09,74,94,6.13
159,Mar Del Plata,AR,2022-07-20 22:03:07,-38.0023,-57.5575,58.95,55,40,3.0
160,Norman Wells,CA,2022-07-20 22:03:08,65.282,-126.8329,76.46,36,99,4.63
161,Macau,MO,2022-07-20 22:03:08,22.2006,113.5461,85.8,89,20,10.36
162,Nouadhibou,MR,2022-07-20 22:03:08,20.931,-17.0347,68.14,95,20,11.43
163,Lagoa,PT,2022-07-20 22:03:09,39.05,-27.9833,71.82,81,7,4.29
164,Sisimiut,GL,2022-07-20 22:03:10,66.9395,-53.6735,44.67,92,100,2.04
165,Avera,US,2022-07-20 22:03:10,33.194,-82.5271,90.37,52,100,10.71
166,Goderich,CA,2022-07-20 22:03:10,43.7501,-81.7165,78.91,88,75,23.2
167,Hithadhoo,MV,2022-07-20 22:03:11,-0.6,73.0833,80.94,69,100,2.84
168,Saint George,US,2022-07-20 22:00:19,37.1041,-113.5841,108.19,14,0,12.66
169,Beringovskiy,RU,2022-07-20 22:03:12,63.05,179.3167,43.59,73,99,17.16
170,Vaini,TO,2022-07-20 22:03:12,-21.2,-175.2,74.5,78,7,17.22
171,Gaoua,BF,2022-07-20 22:03:13,10.2992,-3.2508,75.16,77,84,6.22
172,Manuk Mangkaw,PH,2022-07-20 22:03:13,4.8,119.85,82.98,72,24,4.23
173,Fortuna,US,2022-07-20 22:03:14,40.5982,-124.1573,67.98,71,36,3.0
174,Souillac,MU,2022-07-20 22:01:11,-20.5167,57.5167,67.71,75,69,18.75
175,Ashqelon,IL,2022-07-20 22:03:14,31.6693,34.5715,80.49,69,0,5.32
176,Kenai,US,2022-07-20 22:04:15,60.5544,-151.2583,58.03,90,100,11.5
177,Kodiak,US,2022-07-20 22:04:15,57.79,-152.4072,54.91,82,0,4.61
178,Rawson,AR,2022-07-20 22:04:15,-43.3002,-65.1023,47.71,43,100,22.73
179,Voi,KE,2022-07-20 22:04:16,-3.3945,38.563,63.97,88,16,7.09
180,Garowe,SO,2022-07-20 22:04:16,8.4054,48.4845,77.18,44,69,13.09
181,Baykit,RU,2022-07-20 22:04:17,61.67,96.37,52.3,95,19,2.3
182,Adrar,MR,2022-07-20 22:04:17,20.5022,-10.0711,94.93,19,35,11.48
183,Olafsvik,IS,2022-07-20 22:04:18,64.8945,-23.7142,50.74,74,79,9.84
184,Wau,SS,2022-07-20 22:04:18,7.7029,27.9953,68.05,92,56,1.9
185,Tuy Hoa,VN,2022-07-20 22:04:18,13.0833,109.3,74.5,94,100,3.29
186,Saskylakh,RU,2022-07-20 21:59:50,71.9167,114.0833,42.01,76,67,14.54
187,Hindaun,IN,2022-07-20 22:04:19,26.7167,77.0167,88.3,64,91,5.99
188,Superior,US,2022-07-20 22:04:19,46.7208,-92.1041,86.76,40,0,21.85
189,Lloydminster,CA,2022-07-20 21:59:57,53.2835,-110.0016,73.62,40,40,20.71
190,Nieuw Amsterdam,SR,2022-07-20 22:04:20,5.8833,-55.0833,82.56,78,20,2.3
191,Rio Gallegos,AR,2022-07-20 22:04:20,-51.6226,-69.2181,32.05,69,0,23.02
192,Ust-Nera,RU,2022-07-20 22:04:21,64.5667,143.2,60.35,70,98,9.04
