City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Kudahuvadhoo,MV,82.33,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
582,Vilyuysk,RU,79.21,clear sky,63.7553,121.6247,Gostinitsa Viliuisk
583,Bandarbeyla,SO,76.05,scattered clouds,9.4942,50.8122,JABIR HOTEL
584,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
585,Gizo,SB,83.39,broken clouds,-8.103,156.8419,Imagination Island
586,Viransehir,TR,86.86,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
589,Elkton,US,84.11,broken clouds,39.6068,-75.8333,"Motel 6 Elkton, MD"
590,Marawi,PH,75.15,overcast clouds,7.9986,124.2928,Derogongan Residence
591,Coahuayana,MX,80.74,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
594,Hamilton,US,83.86,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
595,Madras,IN,83.97,mist,13.0878,80.2785,"Taj Connemara, Chennai"
599,Tandalti,SD,79.43,light rain,13.0167,31.8667,منزل : الهادي محمد مساعد
601,Robertsport,LR,76.1,broken clouds,6.7533,-11.3686,Kwepunha Retreat
603,Nan,TH,75.22,clear sky,18.8333,100.6667,สะเนียน2
607,Ewa Beach,US,87.75,few clouds,21.3156,-158.0072,Base Lodging
610,Alugan,PH,79.74,light rain,12.2188,125.4808,JM Lodge
612,Wewak,PG,80.71,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
613,Medicine Hat,CA,90.03,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
614,Chalmette,US,85.05,clear sky,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
618,Riyadh,SA,89.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
619,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
621,Sweetwater,US,85.01,few clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
624,Auki,SB,84.83,few clouds,-8.7676,160.7034,Auki Motel
632,Bucerias,MX,85.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
633,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
635,Miramar,US,85.01,scattered clouds,25.9873,-80.2323,Stadium Hotel
636,Veraval,IN,80.11,overcast clouds,20.9,70.3667,Lords Inn Somnath
637,Port Keats,AU,75.58,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
639,Tulum,MX,82.94,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
640,Bhuj,IN,80.55,scattered clouds,23.2667,69.6667,Regenta Resort Bhuj
642,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
644,Abnub,EG,85.84,few clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
650,Batavia,US,77.92,scattered clouds,41.85,-88.3126,Comfort Inn & Suites Geneva- West Chicago
651,Arlit,NE,86.49,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
658,Umm Lajj,SA,88.16,broken clouds,25.0213,37.2685,Moon light Furnished Units
661,Matara,LK,76.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
665,Bacabal,BR,76.39,broken clouds,-4.2917,-44.7917,Rancho Sol Nascente
668,Yuncheng,CN,78.75,few clouds,35.0231,110.9928,晋州快捷酒店
670,Popondetta,PG,85.66,broken clouds,-8.7537,148.2534,Timos Transit House
671,Jadu,LY,78.98,clear sky,31.953,12.0261,امياس للصرافة
